iteration	average pixel
1	254.944355
100	253.837258
200	253.309391
300	252.901399
400	252.554959
500	252.247809
600	251.968631
700	251.710720
800	251.469700
900	251.242518
1000	251.026942
1100	250.821279
1200	250.624209
1300	250.434681
1400	250.251838
1500	250.074974
1600	249.903499
1700	249.736912
1800	249.574787
1900	249.416755
2000	249.262493
2100	249.111722
