Input File	#Processes	Running Time (sec)
processes = 7, image = 256x192 -> dim = (7, 1), small_image = (36, 192) , last_tile = (40, 192) -> recons = (252, 192)
processes = 7, image = 256x192 -> dim = (7, 1), small_image = (36, 192) , last_tile = (40, 192) -> recons = (252, 192)
./resources/edgenew256x192.pgm	7	0.159927
processes = 7, image = 512x384 -> dim = (7, 1), small_image = (73, 384) , last_tile = (74, 384) -> recons = (511, 384)
processes = 7, image = 512x384 -> dim = (7, 1), small_image = (73, 384) , last_tile = (74, 384) -> recons = (511, 384)
processes = 7, image = 512x384 -> dim = (7, 1), small_image = (73, 384) , last_tile = (74, 384) -> recons = (511, 384)
processes = 7, image = 512x384 -> dim = (7, 1), small_image = (73, 384) , last_tile = (74, 384) -> recons = (511, 384)
processes = 7, image = 512x384 -> dim = (7, 1), small_image = (73, 384) , last_tile = (74, 384) -> recons = (511, 384)
processes = 7, image = 512x384 -> dim = (7, 1), small_image = (73, 384) , last_tile = (74, 384) -> recons = (511, 384)
processes = 7, image = 512x384 -> dim = (7, 1), small_image = (73, 384) , last_tile = (74, 384) -> recons = (511, 384)
./resources/edgenew512x384.pgm	7	0.800333
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
processes = 8, image = 192x128 -> dim = (4, 2), small_image = (48, 64) , last_tile = (48, 64) -> recons = (192, 128)
./resources/edgenew192x128.pgm	8	0.103413
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
processes = 8, image = 256x192 -> dim = (4, 2), small_image = (64, 96) , last_tile = (64, 96) -> recons = (256, 192)
./resources/edgenew256x192.pgm	8	0.143919
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
processes = 8, image = 512x384 -> dim = (4, 2), small_image = (128, 192) , last_tile = (128, 192) -> recons = (512, 384)
./resources/edgenew512x384.pgm	8	0.792538
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
processes = 11, image = 192x128 -> dim = (11, 1), small_image = (17, 128) , last_tile = (22, 128) -> recons = (187, 128)
./resources/edgenew192x128.pgm	11	0.207912
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
processes = 11, image = 256x192 -> dim = (11, 1), small_image = (23, 192) , last_tile = (26, 192) -> recons = (253, 192)
./resources/edgenew256x192.pgm	11	0.227611
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
processes = 11, image = 512x384 -> dim = (11, 1), small_image = (46, 384) , last_tile = (52, 384) -> recons = (506, 384)
./resources/edgenew512x384.pgm	11	1.088969
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
processes = 16, image = 192x128 -> dim = (4, 4), small_image = (48, 32) , last_tile = (48, 32) -> recons = (192, 128)
./resources/edgenew192x128.pgm	16	0.331325
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
processes = 16, image = 256x192 -> dim = (4, 4), small_image = (64, 48) , last_tile = (64, 48) -> recons = (256, 192)
./resources/edgenew256x192.pgm	16	0.195682
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
processes = 16, image = 512x384 -> dim = (4, 4), small_image = (128, 96) , last_tile = (128, 96) -> recons = (512, 384)
./resources/edgenew512x384.pgm	16	0.899276
