iteration	average pixel
1	255.000000
2	254.986071
3	254.974205
4	254.963599
5	254.953914
6	254.944946
7	254.936555
8	254.928644
9	254.921137
10	254.913979
11	254.907125
12	254.900539
13	254.894192
14	254.888060
15	254.882122
16	254.876360
17	254.870761
18	254.865310
19	254.859997
20	254.854812
21	254.849745
22	254.844789
23	254.839937
24	254.835182
25	254.830519
26	254.825943
27	254.821448
28	254.817032
29	254.812689
30	254.808416
31	254.804209
32	254.800067
33	254.795985
34	254.791961
35	254.787993
36	254.784079
37	254.780216
38	254.776402
39	254.772635
40	254.768915
41	254.765238
42	254.761604
43	254.758011
44	254.754457
45	254.750942
46	254.747463
47	254.744021
48	254.740614
49	254.737240
50	254.733899
51	254.730590
52	254.727312
53	254.724063
54	254.720844
55	254.717653
56	254.714490
57	254.711354
58	254.708245
59	254.705160
60	254.702101
61	254.699066
62	254.696055
63	254.693067
64	254.690101
65	254.687158
66	254.684236
67	254.681336
68	254.678456
69	254.675597
70	254.672757
71	254.669936
72	254.667135
73	254.664352
74	254.661588
75	254.658841
76	254.656112
77	254.653400
78	254.650705
79	254.648027
80	254.645364
81	254.642718
82	254.640087
83	254.637472
84	254.634871
85	254.632286
86	254.629715
87	254.627158
88	254.624616
89	254.622087
90	254.619572
91	254.617070
92	254.614582
93	254.612106
94	254.609643
95	254.607193
96	254.604755
97	254.602329
98	254.599915
99	254.597513
100	254.595123
101	254.592744
102	254.590376
103	254.588019
104	254.585674
105	254.583339
106	254.581015
107	254.578701
108	254.576398
109	254.574104
110	254.571821
111	254.569548
112	254.567285
113	254.565031
114	254.562787
115	254.560552
116	254.558327
117	254.556110
118	254.553903
119	254.551705
120	254.549515
121	254.547334
122	254.545162
123	254.542999
124	254.540843
125	254.538696
126	254.536557
127	254.534427
128	254.532304
129	254.530189
130	254.528082
131	254.525983
132	254.523891
133	254.521807
134	254.519731
135	254.517661
136	254.515599
137	254.513545
138	254.511497
139	254.509456
140	254.507423
141	254.505396
142	254.503376
143	254.501363
144	254.499356
145	254.497356
146	254.495363
147	254.493376
148	254.491396
149	254.489421
150	254.487454
151	254.485492
152	254.483536
153	254.481587
154	254.479643
155	254.477706
156	254.475774
157	254.473848
158	254.471928
159	254.470014
160	254.468105
161	254.466202
162	254.464304
163	254.462412
164	254.460525
165	254.458644
166	254.456768
167	254.454898
168	254.453032
169	254.451172
170	254.449317
171	254.447467
172	254.445622
173	254.443782
174	254.441946
175	254.440116
176	254.438291
177	254.436470
178	254.434655
179	254.432843
180	254.431037
181	254.429235
182	254.427438
183	254.425645
184	254.423857
185	254.422074
186	254.420294
187	254.418519
188	254.416749
189	254.414983
190	254.413221
191	254.411463
192	254.409709
193	254.407960
194	254.406214
195	254.404473
196	254.402736
197	254.401003
198	254.399274
199	254.397548
200	254.395827
201	254.394110
202	254.392396
203	254.390686
204	254.388980
205	254.387278
206	254.385579
207	254.383884
208	254.382193
209	254.380505
210	254.378821
211	254.377141
212	254.375464
213	254.373790
214	254.372120
215	254.370454
216	254.368790
217	254.367131
218	254.365474
219	254.363821
220	254.362171
221	254.360525
222	254.358881
223	254.357241
224	254.355604
