iteration	average pixel
1	255.000000
2	254.601329
3	254.302002
4	254.052409
5	253.833936
6	253.637281
7	253.457016
8	253.289649
9	253.132775
10	252.984656
11	252.843985
12	252.709753
13	252.581158
14	252.457551
15	252.338400
16	252.223260
17	252.111755
18	252.003565
19	251.898413
20	251.796060
21	251.696295
22	251.598933
23	251.503811
24	251.410782
25	251.319715
26	251.230492
27	251.143006
28	251.057162
29	250.972870
30	250.890051
31	250.808630
32	250.728541
33	250.649719
34	250.572109
35	250.495656
36	250.420310
37	250.346026
38	250.272760
39	250.200473
40	250.129125
41	250.058683
42	249.989113
43	249.920384
44	249.852467
45	249.785333
46	249.718957
47	249.653314
48	249.588380
49	249.524134
50	249.460554
51	249.397621
52	249.335315
53	249.273617
54	249.212512
55	249.151982
56	249.092012
57	249.032587
58	248.973691
59	248.915313
60	248.857437
61	248.800053
62	248.743147
63	248.686708
64	248.630725
65	248.575188
66	248.520085
67	248.465407
68	248.411145
69	248.357288
70	248.303829
71	248.250759
72	248.198069
73	248.145752
74	248.093800
75	248.042205
76	247.990961
77	247.940059
78	247.889494
79	247.839260
80	247.789349
81	247.739755
82	247.690473
83	247.641498
84	247.592822
85	247.544442
86	247.496351
87	247.448545
88	247.401019
89	247.353767
90	247.306786
91	247.260070
92	247.213616
93	247.167419
94	247.121474
95	247.075778
96	247.030327
97	246.985117
98	246.940144
99	246.895405
100	246.850895
101	246.806612
102	246.762552
103	246.718711
104	246.675087
105	246.631677
106	246.588476
107	246.545483
108	246.502695
109	246.460107
110	246.417719
111	246.375526
112	246.333527
113	246.291718
114	246.250097
115	246.208662
116	246.167410
117	246.126339
118	246.085446
119	246.044730
120	246.004187
121	245.963816
122	245.923614
123	245.883580
124	245.843712
125	245.804006
126	245.764463
127	245.725078
128	245.685851
129	245.646780
130	245.607862
131	245.569097
132	245.530482
133	245.492016
134	245.453696
135	245.415522
136	245.377491
137	245.339602
138	245.301854
139	245.264245
140	245.226773
141	245.189437
142	245.152235
143	245.115166
144	245.078230
145	245.041423
146	245.004745
147	244.968195
148	244.931771
149	244.895471
150	244.859296
151	244.823243
152	244.787311
153	244.751499
154	244.715806
155	244.680231
156	244.644772
157	244.609428
158	244.574199
159	244.539083
160	244.504079
161	244.469186
162	244.434403
163	244.399730
164	244.365164
165	244.330705
166	244.296352
167	244.262104
168	244.227960
169	244.193919
170	244.159981
171	244.126144
172	244.092407
173	244.058770
174	244.025232
175	243.991791
176	243.958448
177	243.925200
178	243.892048
179	243.858991
180	243.826027
181	243.793156
182	243.760378
183	243.727690
184	243.695094
185	243.662587
186	243.630170
187	243.597841
188	243.565600
189	243.533446
190	243.501378
191	243.469396
192	243.437500
193	243.405687
194	243.373958
195	243.342312
196	243.310749
197	243.279267
198	243.247867
199	243.216547
200	243.185307
201	243.154146
202	243.123064
203	243.092060
204	243.061134
205	243.030285
206	242.999512
207	242.968815
208	242.938193
209	242.907646
210	242.877174
211	242.846775
212	242.816449
213	242.786196
214	242.756016
215	242.725907
216	242.695869
217	242.665901
218	242.636004
219	242.606177
220	242.576419
221	242.546729
222	242.517108
223	242.487555
224	242.458069
225	242.428650
226	242.399297
227	242.370011
228	242.340790
229	242.311634
230	242.282543
231	242.253516
232	242.224553
233	242.195654
234	242.166817
235	242.138044
236	242.109333
237	242.080683
238	242.052095
239	242.023568
240	241.995102
241	241.966696
242	241.938351
243	241.910064
244	241.881837
245	241.853669
246	241.825560
247	241.797508
248	241.769514
249	241.741578
250	241.713699
251	241.685877
252	241.658111
253	241.630401
254	241.602747
255	241.575148
256	241.547605
257	241.520116
258	241.492682
259	241.465302
260	241.437975
261	241.410703
262	241.383483
263	241.356316
264	241.329202
265	241.302141
266	241.275131
267	241.248173
268	241.221267
269	241.194411
270	241.167607
271	241.140853
272	241.114150
273	241.087496
274	241.060892
275	241.034338
276	241.007833
277	240.981377
278	240.954969
279	240.928611
280	240.902300
281	240.876037
282	240.849822
283	240.823654
284	240.797533
285	240.771459
286	240.745432
287	240.719452
288	240.693517
