iteration	average pixel
1	255.000000
2	254.504252
3	254.132833
4	253.823565
5	253.553162
6	253.309984
7	253.087241
8	252.880571
9	252.686975
10	252.504287
11	252.330882
12	252.165505
13	252.007162
14	251.855051
15	251.708514
16	251.567001
17	251.430050
18	251.297266
19	251.168309
20	251.042883
21	250.920729
22	250.801620
23	250.685352
24	250.571747
25	250.460640
26	250.351888
27	250.245357
28	250.140929
29	250.038493
30	249.937949
31	249.839206
32	249.742180
33	249.646791
34	249.552969
35	249.460645
36	249.369757
37	249.280248
38	249.192063
39	249.105151
40	249.019464
41	248.934959
42	248.851592
43	248.769324
44	248.688117
45	248.607937
46	248.528750
47	248.450524
48	248.373230
49	248.296837
50	248.221321
51	248.146654
52	248.072812
53	247.999772
54	247.927511
55	247.856008
56	247.785242
57	247.715195
58	247.645846
59	247.577179
60	247.509176
61	247.441821
62	247.375097
63	247.308990
64	247.243485
65	247.178567
66	247.114224
67	247.050442
68	246.987208
69	246.924511
70	246.862338
71	246.800679
72	246.739522
73	246.678857
74	246.618674
75	246.558963
76	246.499714
77	246.440918
78	246.382566
79	246.324650
80	246.267161
81	246.210091
82	246.153431
83	246.097176
84	246.041316
85	245.985845
86	245.930756
87	245.876042
88	245.821696
89	245.767712
90	245.714084
91	245.660806
92	245.607871
93	245.555275
94	245.503011
95	245.451074
96	245.399458
97	245.348160
98	245.297172
99	245.246492
100	245.196113
101	245.146031
102	245.096242
103	245.046741
104	244.997524
105	244.948587
106	244.899925
107	244.851534
108	244.803412
109	244.755553
110	244.707953
111	244.660611
112	244.613520
113	244.566680
114	244.520084
115	244.473732
116	244.427618
117	244.381741
118	244.336096
119	244.290681
120	244.245492
121	244.200528
122	244.155784
123	244.111259
124	244.066949
125	244.022851
126	243.978963
127	243.935283
128	243.891808
129	243.848534
130	243.805461
131	243.762585
132	243.719904
133	243.677417
134	243.635119
135	243.593010
136	243.551087
137	243.509348
138	243.467791
139	243.426413
140	243.385213
141	243.344190
142	243.303340
143	243.262661
144	243.222153
145	243.181813
